# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
1050.0	66.3169	66.3169	64.319	90.0	90.0	90.0	282870.595603
1055.0	66.3014	66.3014	64.6997	90.0	90.0	90.0	284411.567464
1060.0	66.3156	66.3156	64.4067	90.0	90.0	90.0	283245.182415
1065.0	66.6006	66.6006	64.0276	90.0	90.0	90.0	284003.530258
1070.0	66.5184	66.5184	64.0403	90.0	90.0	90.0	283358.540071
1075.0	66.854	66.854	63.4147	90.0	90.0	90.0	283429.278346
1080.0	66.8002	66.8002	64.1656	90.0	90.0	90.0	286323.652032
1085.0	66.6815	66.6815	63.854	90.0	90.0	90.0	283922.412617
1090.0	66.5647	66.5647	64.2111	90.0	90.0	90.0	284510.022926
1095.0	66.2928	66.2928	64.2753	90.0	90.0	90.0	282472.866396
1100.0	66.6914	66.6914	63.7626	90.0	90.0	90.0	283599.725128
1105.0	66.4544	66.4544	64.0696	90.0	90.0	90.0	282943.783941
1110.0	66.7355	66.7355	63.4816	90.0	90.0	90.0	282723.346714
1115.0	66.7605	66.7605	63.8553	90.0	90.0	90.0	284600.466568
1120.0	67.0222	67.0222	63.4385	90.0	90.0	90.0	284963.809434
1125.0	67.04	67.04	63.1537	90.0	90.0	90.0	283835.928051
1130.0	67.1319	67.1319	63.2911	90.0	90.0	90.0	285233.570733
1135.0	66.9054	66.9054	63.6357	90.0	90.0	90.0	284854.429241
1140.0	66.8525	66.8525	63.8969	90.0	90.0	90.0	285571.887265
1145.0	66.6975	66.6975	64.1002	90.0	90.0	90.0	285153.232848
1150.0	66.8123	66.8123	63.938	90.0	90.0	90.0	285411.782788
1155.0	66.5798	66.5798	64.0947	90.0	90.0	90.0	284123.672898
1160.0	66.2715	66.2715	64.5671	90.0	90.0	90.0	283572.971827
1165.0	66.7444	66.7444	63.9349	90.0	90.0	90.0	284818.635638
1170.0	66.6802	66.6802	63.7939	90.0	90.0	90.0	283643.575192
1175.0	66.5269	66.5269	63.8669	90.0	90.0	90.0	282663.819667
1180.0	67.0053	67.0053	63.3342	90.0	90.0	90.0	284352.022895
1185.0	66.8317	66.8317	63.7062	90.0	90.0	90.0	284541.853875
1190.0	67.0774	67.0774	63.2612	90.0	90.0	90.0	284635.954625
1195.0	67.2472	67.2472	62.7552	90.0	90.0	90.0	283790.587757
1200.0	67.1324	67.1324	63.2321	90.0	90.0	90.0	284972.333403
1205.0	66.9704	66.9704	63.3621	90.0	90.0	90.0	284181.016003
1210.0	66.9066	66.9066	63.3895	90.0	90.0	90.0	283762.510151
1215.0	66.8429	66.8429	63.569	90.0	90.0	90.0	284024.269969
1220.0	66.7147	66.7147	63.9337	90.0	90.0	90.0	284559.708386
1225.0	66.7109	66.7109	63.9243	90.0	90.0	90.0	284485.175605
1230.0	66.8217	66.8217	63.6653	90.0	90.0	90.0	284274.48129
1235.0	66.915	66.915	63.4586	90.0	90.0	90.0	284143.191021
