# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
1220.0	59.3468	59.3468	90.5437	90.0	90.0	90.0	318898.841696
1225.0	59.2632	59.2632	90.8953	90.0	90.0	90.0	319235.383936
1230.0	59.0233	59.0233	91.5969	90.0	90.0	90.0	319100.273126
1235.0	59.1883	59.1883	90.9426	90.0	90.0	90.0	318595.159763
1240.0	59.0862	59.0862	91.2066	90.0	90.0	90.0	318418.791962
1245.0	59.2827	59.2827	90.4392	90.0	90.0	90.0	317843.334314
1250.0	59.2352	59.2352	90.917	90.0	90.0	90.0	319009.961657
1255.0	58.9882	58.9882	91.7934	90.0	90.0	90.0	319404.999912
1260.0	59.2504	59.2504	90.8386	90.0	90.0	90.0	318898.334277
1265.0	58.9916	58.9916	91.5609	90.0	90.0	90.0	318632.280967
1270.0	59.0335	59.0335	91.4301	90.0	90.0	90.0	318629.338741
1275.0	59.1637	59.1637	91.2073	90.0	90.0	90.0	319256.593971
1280.0	59.1815	59.1815	91.264	90.0	90.0	90.0	319647.488811
1285.0	59.094	59.094	91.5282	90.0	90.0	90.0	319626.211934
1290.0	59.1351	59.1351	90.856	90.0	90.0	90.0	317719.67876
1295.0	58.9051	58.9051	91.9463	90.0	90.0	90.0	319036.243375
1300.0	59.0305	59.0305	91.9636	90.0	90.0	90.0	320455.83278
1305.0	59.2034	59.2034	91.392	90.0	90.0	90.0	320332.62007
1310.0	59.2805	59.2805	91.1936	90.0	90.0	90.0	320470.206743
1315.0	59.0069	59.0069	92.0329	90.0	90.0	90.0	320441.664697
1320.0	59.0025	59.0025	91.8594	90.0	90.0	90.0	319789.426714
1325.0	58.9682	58.9682	91.7901	90.0	90.0	90.0	319176.766476
1330.0	59.122	59.122	91.3629	90.0	90.0	90.0	319351.46662
1335.0	59.3345	59.3345	91.0799	90.0	90.0	90.0	320654.583605
1340.0	59.5453	59.5453	90.2849	90.0	90.0	90.0	320117.534792
1345.0	59.336	59.336	90.865	90.0	90.0	90.0	319913.657789
1350.0	59.2879	59.2879	90.5472	90.0	90.0	90.0	318279.048534
1355.0	58.9847	58.9847	91.971	90.0	90.0	90.0	319985.262053
1360.0	58.9445	58.9445	91.8552	90.0	90.0	90.0	319146.857023
1365.0	59.3075	59.3075	90.8842	90.0	90.0	90.0	319674.600162
1370.0	58.8686	58.8686	91.7503	90.0	90.0	90.0	317961.313211
1375.0	58.9233	58.9233	91.8705	90.0	90.0	90.0	318970.721017
1380.0	59.3211	59.3211	90.4891	90.0	90.0	90.0	318430.172334
1385.0	59.1088	59.1088	91.2323	90.0	90.0	90.0	318751.790116
1390.0	58.9399	58.9399	91.8692	90.0	90.0	90.0	319145.820698
1395.0	59.0154	59.0154	91.1722	90.0	90.0	90.0	317535.96892
1400.0	59.2738	59.2738	90.9995	90.0	90.0	90.0	319715.638509
1405.0	59.0339	59.0339	91.6083	90.0	90.0	90.0	319255.578592
1410.0	58.938	58.938	91.3052	90.0	90.0	90.0	317166.248433
1415.0	58.8745	58.8745	92.1367	90.0	90.0	90.0	319364.828617
1420.0	58.9595	58.9595	92.1635	90.0	90.0	90.0	320381.419766
1425.0	58.828	58.828	92.0503	90.0	90.0	90.0	318561.925522
1430.0	58.9819	58.9819	91.7708	90.0	90.0	90.0	319257.949595
1435.0	58.9637	58.9637	91.5249	90.0	90.0	90.0	318206.234253
1440.0	59.141	59.141	91.3429	90.0	90.0	90.0	319486.282776
1445.0	58.9803	58.9803	91.5888	90.0	90.0	90.0	318607.050625
1450.0	58.8741	58.8741	91.9189	90.0	90.0	90.0	318605.503598
1455.0	58.9285	58.9285	91.59	90.0	90.0	90.0	318052.677584
1460.0	59.0207	59.0207	91.3002	90.0	90.0	90.0	318039.061044
1465.0	59.06	59.06	91.7671	90.0	90.0	90.0	320090.864894
1470.0	58.8085	58.8085	91.9108	90.0	90.0	90.0	317867.617847
1475.0	58.9901	58.9901	91.256	90.0	90.0	90.0	317555.158313
1480.0	59.1186	59.1186	91.1004	90.0	90.0	90.0	318396.708522
1485.0	59.0244	59.0244	91.4614	90.0	90.0	90.0	318640.927279
1490.0	59.1293	59.1293	91.614	90.0	90.0	90.0	320308.24513
1495.0	59.2151	59.2151	91.1505	90.0	90.0	90.0	319612.544228
1500.0	59.1474	59.1474	90.7098	90.0	90.0	90.0	317340.153188
1505.0	59.2253	59.2253	90.9093	90.0	90.0	90.0	318876.479133
1510.0	59.1655	59.1655	90.9786	90.0	90.0	90.0	318476.039104
1515.0	59.1187	59.1187	91.2443	90.0	90.0	90.0	318901.064743
1520.0	59.1935	59.1935	90.9678	90.0	90.0	90.0	318739.117488
1525.0	59.2614	59.2614	90.5086	90.0	90.0	90.0	317858.296463
1530.0	59.202	59.202	90.6916	90.0	90.0	90.0	317862.899431
1535.0	59.1565	59.1565	91.2797	90.0	90.0	90.0	319432.872074
1540.0	59.2753	59.2753	90.4599	90.0	90.0	90.0	317836.781394
1545.0	59.4908	59.4908	89.9117	90.0	90.0	90.0	318210.972443
1550.0	59.3756	59.3756	90.5812	90.0	90.0	90.0	319340.445261
1555.0	59.0599	59.0599	91.0158	90.0	90.0	90.0	317469.290336
1560.0	59.4457	59.4457	90.3662	90.0	90.0	90.0	319334.742898
1565.0	59.4381	59.4381	90.1481	90.0	90.0	90.0	318483.192054
1570.0	59.295	59.295	90.5701	90.0	90.0	90.0	318434.549386
1575.0	59.1567	59.1567	91.1022	90.0	90.0	90.0	318813.95609
1580.0	59.3421	59.3421	90.5501	90.0	90.0	90.0	318871.080997
1585.0	59.2129	59.2129	91.1128	90.0	90.0	90.0	319457.022256
1590.0	59.3734	59.3734	90.4838	90.0	90.0	90.0	318973.397996
1595.0	59.4318	59.4318	90.5976	90.0	90.0	90.0	320003.705753
1600.0	59.3858	59.3858	90.2472	90.0	90.0	90.0	318272.96444
1605.0	59.2966	59.2966	90.7044	90.0	90.0	90.0	318924.527297
1610.0	59.6274	59.6274	89.9413	90.0	90.0	90.0	319779.36214
1615.0	59.4697	59.4697	90.4389	90.0	90.0	90.0	319850.641204
1620.0	59.3892	59.3892	90.3303	90.0	90.0	90.0	318601.880886
1625.0	59.2941	59.2941	90.7003	90.0	90.0	90.0	318882.74279
1630.0	59.3711	59.3711	90.8767	90.0	90.0	90.0	320333.77309
1635.0	59.2398	59.2398	91.0482	90.0	90.0	90.0	319520.610411
1640.0	59.2953	59.2953	90.5379	90.0	90.0	90.0	318324.683325
1645.0	59.3386	59.3386	90.4805	90.0	90.0	90.0	318588.218182
1650.0	59.1823	59.1823	91.1118	90.0	90.0	90.0	319122.689311
1655.0	59.3619	59.3619	90.4438	90.0	90.0	90.0	318709.124042
1660.0	59.3915	59.3915	90.2765	90.0	90.0	90.0	318437.001028
1665.0	59.1842	59.1842	90.693	90.0	90.0	90.0	317676.652625
1670.0	59.148	59.148	91.0639	90.0	90.0	90.0	318586.027754
1675.0	59.0258	59.0258	91.2402	90.0	90.0	90.0	317884.596859
1680.0	59.0121	59.0121	91.879	90.0	90.0	90.0	319962.305126
1685.0	59.1414	59.1414	91.6016	90.0	90.0	90.0	320394.962322
1690.0	58.8474	58.8474	91.7742	90.0	90.0	90.0	317815.820445
1695.0	59.1988	59.1988	90.9466	90.0	90.0	90.0	318721.822986
1700.0	58.9446	58.9446	91.9392	90.0	90.0	90.0	319439.265511
1705.0	59.0271	59.0271	91.4064	90.0	90.0	90.0	318477.97939
1710.0	58.9165	58.9165	92.0091	90.0	90.0	90.0	319377.462578
1715.0	58.8866	58.8866	92.008	90.0	90.0	90.0	319049.362696
1720.0	59.0376	59.0376	91.4918	90.0	90.0	90.0	318888.64342
1725.0	58.8873	58.8873	92.4524	90.0	90.0	90.0	320598.502936
1730.0	58.9195	58.9195	91.8658	90.0	90.0	90.0	318913.110075
1735.0	58.8633	58.8633	91.8582	90.0	90.0	90.0	318277.841913
1740.0	59.1572	59.1572	90.924	90.0	90.0	90.0	318195.822991
1745.0	59.1901	59.1901	90.8835	90.0	90.0	90.0	318407.631818
